FID1	IID1	FID2	IID2	MOST_LIKELY_REL	LIKELIHOOD_VECTOR	IBD0	IBD1	IBD2	PI_HAT	-1	POSSIBLE_RELS	LIKELIHOOD_CUTOFF
0	id8	0	id19	HAG	6.60254793150322e-286,4.77063672393969e-05,0.98989322125462,0.0100590615817981,1.07963421108379e-08,3.38813456153889e-220	0.387	0.612	0.0	0.3061	-1	HAG	0.3
0	id8	0	id20	HAG	3.55960941789755e-304,3.8555165423518e-05,0.98619580274049,0.0137656195098748,2.25842118758771e-08,1.79066893402446e-208	0.398	0.601	0.0	0.3007	-1	HAG	0.3
0	id9	0	id10	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id9	0	id11	CGH	0,2.7349931905457e-11,0.353813162598028,0.644532376325323,0.00165446104929913,7.15664754281599e-43	0.616	0.383	0.0	0.1916	-1	HAG,CGH	0.3
0	id9	0	id12	CGH	0,4.20266359921079e-14,0.159693804654002,0.825084695968259,0.0152214993776975,3.14494361520823e-17	0.684	0.316	0.0	0.158	-1	CGH	0.3
0	id9	0	id13	CGH	0,4.61423322167833e-13,0.207609061393951,0.784445992114902,0.00794494649068519,7.54072665119487e-24	0.663	0.336	0.0	0.1684	-1	CGH	0.3
0	id9	0	id14	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id9	0	id15	CGH	0,1.81877313811017e-14,0.147215172324135,0.834005010737003,0.0187798169388411,2.76003163012811e-15	0.691	0.309	0.0	0.1545	-1	CGH	0.3
0	id9	0	id16	CGH	0,9.97985081190792e-13,0.22785813467733,0.765978252885328,0.00616361243634406,1.1349213063803e-26	0.655	0.344	0.0	0.1722	-1	CGH	0.3
0	id9	0	id17	CGH	0,5.09563020743461e-13,0.210043175122131,0.782258077942354,0.00769874693500534,3.41913152104877e-24	0.662	0.337	0.0	0.1688	-1	CGH	0.3
0	id9	0	id18	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id9	0	id19	HAG	0,2.27647562677349e-05,0.96817665736372,0.0318004104748525,1.6740516019324e-07,3.61204069548175e-177	0.429	0.57	0.0	0.2854	-1	HAG	0.3
0	id9	0	id20	HAG	3.88965245380731e-299,4.082356024078e-05,0.987311775599555,0.0126473823478584,1.84923460461697e-08,1.22390375153291e-211	0.395	0.604	0.0	0.3021	-1	HAG	0.3
0	id10	0	id14	UN	0.0,4.04568136411392e-51,5.1509141998710615e-65,1.753177874216902e-62,2.124181991088948e-59,4.045681342854517e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id10	0	id15	UN	0.0,4.04568136411392e-51,5.1509141998710615e-65,1.753177874216902e-62,2.124181991088948e-59,4.045681342854517e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id10	0	id16	UN	0.0,4.04568136411392e-51,5.1509141998710615e-65,1.753177874216902e-62,2.124181991088948e-59,4.045681342854517e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id10	0	id17	UN	0.0,4.04568136411392e-51,5.1509141998710615e-65,1.753177874216902e-62,2.124181991088948e-59,4.045681342854517e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id10	0	id18	UN	0.0,4.04568136411392e-51,5.150914199871044e-65,1.7531778742168953e-62,2.124181991088955e-59,4.0456813428545164e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
