Network	Pedigree	Founder	Network	Pedigree	Founder	degree_related
full.genome_network1	1	all	NA	F007958	all	UN
full.genome_network2	1	all	NA	F007958	all	UN
full.genome_network3	1	all	NA	F007958	all	UN
full.genome_network4	2	Missing2	NA	F007958	F007958	8
full.genome_network5	2	F036273	NA	F007958	F007958	7
full.genome_network6	1	all	NA	F007958	all	UN
full.genome_network7	1	all	NA	F007958	all	UN
full.genome_network8	1	all	NA	F007958	all	UN
full.genome_network9	1	Missing1	NA	F007958	F007958	7
full.genome_network10	1	F036345	NA	F007958	F007958	9
full.genome_network11	1	Missing6	NA	F007958	F007958	8
full.genome_network12	1	all	NA	F007958	all	UN
full.genome_network13	1	all	NA	F007958	all	UN
full.genome_network1	1	all	NA	F008177	all	UN
full.genome_network2	1	F021340	NA	F008177	F008177	9
full.genome_network3	1	Missing4	NA	F008177	F008177	7
full.genome_network4	2	Missing2	NA	F008177	F008177	8
full.genome_network5	1	all	NA	F008177	all	UN
full.genome_network6	1	Missing1	NA	F008177	F008177	8
full.genome_network7	1	all	NA	F008177	all	UN
full.genome_network8	1	Missing1	NA	F008177	F008177	8
full.genome_network9	1	all	NA	F008177	all	UN
full.genome_network10	1	F036345	NA	F008177	F008177	9
full.genome_network11	1	all	NA	F008177	all	UN
full.genome_network12	1	all	NA	F008177	all	UN
full.genome_network13	1	all	NA	F008177	all	UN
full.genome_network1	1	Missing1	NA	F008232	F008232	8
full.genome_network2	1	F021340	NA	F008232	F008232	8
full.genome_network3	1	all	NA	F008232	all	UN
full.genome_network4	1	all	NA	F008232	all	UN
full.genome_network5	1	Missing2	NA	F008232	F008232	8
full.genome_network6	1	all	NA	F008232	all	UN
full.genome_network7	1	all	NA	F008232	all	UN
full.genome_network8	1	Missing1	NA	F008232	F008232	8
full.genome_network9	1	Missing1	NA	F008232	F008232	8
full.genome_network10	1	Missing1	NA	F008232	F008232	8
full.genome_network11	1	all	NA	F008232	all	UN
full.genome_network12	1	all	NA	F008232	all	UN
full.genome_network13	1	all	NA	F008232	all	UN
full.genome_network1	1	Missing1	NA	F008430	F008430	8
full.genome_network2	1	F021340	NA	F008430	F008430	7
full.genome_network3	1	Missing4	NA	F008430	F008430	8
full.genome_network4	1	all	NA	F008430	all	UN
full.genome_network5	1	all	NA	F008430	all	UN
full.genome_network6	1	all	NA	F008430	all	UN
full.genome_network7	1	all	NA	F008430	all	UN
full.genome_network8	1	Missing1	NA	F008430	F008430	8
full.genome_network9	1	all	NA	F008430	all	UN
full.genome_network10	1	all	NA	F008430	all	UN
full.genome_network11	1	Missing12	NA	F008430	F008430	8
full.genome_network12	1	all	NA	F008430	all	UN
full.genome_network13	1	Missing1	NA	F008430	F008430	8
full.genome_network1	1	Missing1	NA	F010012	F010012	7
full.genome_network2	1	Missing3	NA	F010012	F010012	7
full.genome_network3	1	all	NA	F010012	all	UN
full.genome_network4	1	Missing4	NA	F010012	F010012	8
full.genome_network5	1	Missing2	NA	F010012	F010012	8
full.genome_network6	1	Missing1	NA	F010012	F010012	8
full.genome_network7	1	all	NA	F010012	all	UN
full.genome_network8	1	all	NA	F010012	all	UN
full.genome_network9	1	Missing1	NA	F010012	F010012	8
full.genome_network10	1	F036345	NA	F010012	F010012	9
full.genome_network11	1	Missing6	NA	F010012	F010012	7
full.genome_network12	1	all	NA	F010012	all	UN
full.genome_network13	1	all	NA	F010012	all	UN
full.genome_network1	1	all	NA	F012221	all	UN
full.genome_network2	1	F021340	NA	F012221	F012221	9
full.genome_network3	1	all	NA	F012221	all	UN
full.genome_network4	2	Missing2	NA	F012221	F012221	7
full.genome_network5	1	Missing2	NA	F012221	F012221	8
full.genome_network6	1	Missing1	NA	F012221	F012221	8
full.genome_network7	2	Missing4	NA	F012221	F012221	8
